"ID","Bezeichner","Gehäuse","Stückzahl","Bezeichnung","Anbieter und Referenz"," ",
1,"CON1","SIP40",1,"RC2014 Backplane",,,
2,"C1","C025-025X050",1,"100nf",,,
3,"IC1","DIL14",1,"74LS32N",,,
4,"IC2","DIL16",1,"74HCT138N",,,
5,"SV2","MA08-2",1,"",,,
6,"R1,R2,R3,R4","0204_7",4,"1K",,,
7,"JP1,JP2","JP1",2,"",,,
8,"C2,C3,C4","C025-025X050",3,"100nF",,,
9,"LED1","LED3MM",1,"",,,
10,"R5","0204_7",1,"680",,,
11,"CON2","N7E50-X516XX-20",1,"",,,
12,"JP3","JP2",1,"",,,
