"ID","Bezeichner","Gehäuse","Stückzahl","Bezeichnung","Anbieter und Referenz"," ",
1,"CON1","SIP40",1,"RC2014 Backplane",,,
2,"SV1","MA08-2",1,"",,,
3,"C2,C3,C1,C4","C025-025X050",4,"100nF",,,
4,"IC1,IC2","DIL16",2,"74HCT138N",,,
5,"CON2","MA17-2",1,"FLOPPY34",,,
6,"QG1","DIL08S",1,"16 Mhz",,,
7,"IC4","DIL40",1,"WD37C65C",,,
8,"IC3","DIL14",1,"74HCT125N",,,
9,"R1,R2,R3","0204_7",3,"4,7k",,,
10,"JP1,JP2","JP2",2,"",,,
11,"RN1","SIL6",1,"1k",,,
