"ID","Bezeichner","Gehäuse","Stückzahl","Bezeichnung","Anbieter und Referenz"," ",
1,"IC1","DIL16",1,"74HC138N",,,
2,"Q1","TC26H",1,"32.768kHZ, 6pF",,,
3,"SV1","MA08-2",1,"",,,
4,"IC3","DIL28-6",1,"BQ4845",,,
5,"CON1","SIP40",1,"RC2014 Backplane",,,
6,"IC2","DIL20",1,"74LS374N",,,
7,"JP1","JP1",1,"",,,
8,"SV2","MA10-1",1,"",,,
9,"C1","C025-025X050",1,"100nf",,,
10,"C2,C3","C025-025X050",2,"100nF",,,
